Hour,Person,Ventilation,Lighting,Ext. shading front,Ext shading back,Applience,DHW,Hour,Person,Ventilation,Lighting,Ext. shading front,Ext shading back,Applience,DHW,,,,,,,,,,,,,,,
1,0.5,0.5,0,1,1,0.442,0,1,0.5,0.5,0,1,1,0.442,0,,,,,,,,,,,,,,,
2,0.5,0.5,0,1,1,0.32,0,2,0.5,0.5,0,1,1,0.32,0,,,,,,,,,,,,,,,
3,0.5,0.5,0,1,1,0.28,0,3,0.5,0.5,0,1,1,0.28,0,,,,,,,,,,,,,,,
4,0.5,0.5,0,1,1,0.274,0,4,0.5,0.5,0,1,1,0.274,0,,,,,,,,,,,,,,,
5,0.5,0.5,0,1,1,0.279,0,5,0.5,0.5,0,1,1,0.279,0,,,,,,,,,,,,,,,
6,1,1,0,1,1,0.285,0,6,1,1,0,1,1,0.285,0,,,,,,,,,,,,,,,
7,1,1,1,1,1,0.345,1.715,7,1,1,1,1,1,0.345,1.715,,,,,,,,,,,,,,,
8,1,1,1,0,0,0.447,3.92,8,1,1,1,0,0,0.447,3.92,,,,,,,,,,,,,,,
9,0.5,0.5,1,0,0,0.571,0.21,9,0.5,0.5,1,0,0,0.571,0.21,,,,,,,,,,,,,,,
10,0.5,0.5,0.5,0,0,0.684,0.105,10,0.5,0.5,0.5,0,0,0.684,0.105,,,,,,,,,,,,,,,
11,0,0,0,0,0,0.696,0.21,11,0,0,0,0,0,0.696,0.21,,,,,,,,,,,,,,,
12,0,0,0,0,0,0.634,0.315,12,0,0,0,0,0,0.634,0.315,,,,,,,,,,,,,,,
13,0,0,0,0,0,0.676,0,13,0,0,0,0,0,0.676,0,,,,,,,,,,,,,,,
14,0,0,0,0,0,0.631,0.105,14,0,0,0,0,0,0.631,0.105,,,,,,,,,,,,,,,
15,0.5,0.5,0,0,0,0.632,0.105,15,0.5,0.5,0,0,0,0.632,0.105,,,,,,,,,,,,,,,
16,0.5,0.5,0,0,0,0.631,0.105,16,0.5,0.5,0,0,0,0.631,0.105,,,,,,,,,,,,,,,
17,1,1,0.5,0,0,0.671,0,17,1,1,0.5,0,0,0.671,0,,,,,,,,,,,,,,,
18,1,1,1,0,0,0.764,0.315,18,1,1,1,0,0,0.764,0.315,,,,,,,,,,,,,,,
19,1,1,1,0,0,0.825,0.105,19,1,1,1,0,0,0.825,0.105,,,,,,,,,,,,,,,
20,1,1,1,0,0,0.982,0.735,20,1,1,1,0,0,0.982,0.735,,,,,,,,,,,,,,,
21,1,1,1,0,0,1,3.71,21,1,1,1,0,0,1,3.71,,,,,,,,,,,,,,,
22,1,1,1,0,0,0.934,0,22,1,1,1,0,0,0.934,0,,,,,,,,,,,,,,,1.46E+03
23,1,1,0.5,1,1,0.863,0,23,1,1,0.5,1,1,0.863,0,,,,,,,,,,,,,,,
24,0.5,0.5,0,1,1,0.694,0,24,0.5,0.5,0,1,1,0.694,0,,,,,,,,,,,,,,,
